SampleID,sample_name,nearest_ci,dist_m,onekm_rad_ci,fivekm_rad_ci,lat,lon,date,location,modis_ci_image_name,onekm_less50cloudCover,fivekm_less50cloudCover
1,2016-07-05T00:00:00_WE12,,,,,41.7578,-83.35,7/5/16,MODIS_processed_tiff/2016/image/,aqua.2016187.0705.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
2,2016-07-05T00:00:00_WE2,,,,,41.9336,-83.5683,7/5/16,MODIS_processed_tiff/2016/image/,aqua.2016187.0705.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
3,2016-07-05T00:00:00_WE4,,,,,41.826,-83.1918,7/5/16,MODIS_processed_tiff/2016/image/,aqua.2016187.0705.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
4,2016-07-05T00:00:00_WE6,,,,,41.7919,-83.4394,7/5/16,MODIS_processed_tiff/2016/image/,aqua.2016187.0705.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
5,2016-07-05T00:00:00_WE8,,,,,41.8343,-83.3598,7/5/16,MODIS_processed_tiff/2016/image/,aqua.2016187.0705.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
6,2016-07-05T00:00:00_WE9,,,,,41.7367,-83.5747,7/5/16,MODIS_processed_tiff/2016/image/,aqua.2016187.0705.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
7,2016-07-18T00:00:00_WE12,,,,,41.7041,-83.2565,7/18/16,MODIS_processed_tiff/2016/image/,terra.2016200.0718.1512_1650C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
8,2016-07-18T00:00:00_WE2,,,,,41.7628,-83.3321,7/18/16,MODIS_processed_tiff/2016/image/,terra.2016200.0718.1512_1650C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
9,2016-07-18T00:00:00_WE4,,,,,41.826,-83.1947,7/18/16,MODIS_processed_tiff/2016/image/,terra.2016200.0718.1512_1650C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
10,2016-07-18T00:00:00_WE6,,,,,41.7055,-83.3866,7/18/16,MODIS_processed_tiff/2016/image/,terra.2016200.0718.1512_1650C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
11,2016-07-18T00:00:00_WE8,,,,,41.8338,-83.3511,7/18/16,MODIS_processed_tiff/2016/image/,terra.2016200.0718.1512_1650C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
12,2016-07-18T00:00:00_WE9,,,,,41.718,-83.4245,7/18/16,MODIS_processed_tiff/2016/image/,terra.2016200.0718.1512_1650C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
13,2016-08-01T00:00:00_WE12,,,,,41.7048,-83.2544,8/1/16,MODIS_processed_tiff/2016/image/,aqua.2016214.0801.1707_1844_1845C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
14,2016-08-01T00:00:00_WE2,,,,,41.7649,-83.3301,8/1/16,MODIS_processed_tiff/2016/image/,aqua.2016214.0801.1707_1844_1845C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
15,2016-08-01T00:00:00_WE4,,,,,41.8268,-83.193,8/1/16,MODIS_processed_tiff/2016/image/,aqua.2016214.0801.1707_1844_1845C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
16,2016-08-01T00:00:00_WE6,,,,,41.706,-83.3861,8/1/16,MODIS_processed_tiff/2016/image/,aqua.2016214.0801.1707_1844_1845C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
17,2016-08-01T00:00:00_WE8,,,,,41.8346,-83.3565,8/1/16,MODIS_processed_tiff/2016/image/,aqua.2016214.0801.1707_1844_1845C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
18,2016-08-01T00:00:00_WE9,,,,,41.7183,-83.4219,8/1/16,MODIS_processed_tiff/2016/image/,aqua.2016214.0801.1707_1844_1845C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
19,2016-08-22T00:00:00_WE12,,,,,41.7047,-83.255,8/22/16,MODIS_processed_tiff/2016/image/,aqua.2016235.0822.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
20,2016-08-22T00:00:00_WE2,,,,,41.7646,-83.332,8/22/16,MODIS_processed_tiff/2016/image/,aqua.2016235.0822.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
21,2016-08-22T00:00:00_WE4,,,,,41.8268,-83.192,8/22/16,MODIS_processed_tiff/2016/image/,aqua.2016235.0822.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
22,2016-08-22T00:00:00_WE6,,,,,41.7058,-83.3859,8/22/16,MODIS_processed_tiff/2016/image/,aqua.2016235.0822.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
23,2016-08-22T00:00:00_WE8,,,,,41.8361,-83.3599,8/22/16,MODIS_processed_tiff/2016/image/,aqua.2016235.0822.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
24,2016-08-22T00:00:00_WE9,,,,,41.7185,-83.4222,8/22/16,MODIS_processed_tiff/2016/image/,aqua.2016235.0822.1725_1903_1905C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
25,2016-08-29T00:00:00_WE12,,,,,41.7043,-83.2668,8/29/16,MODIS_processed_tiff/2016/image/,aqua.2016242.0829.1731_1909_1910C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
26,2016-08-29T00:00:00_WE2,,,,,41.7642,-83.3297,8/29/16,MODIS_processed_tiff/2016/image/,aqua.2016242.0829.1731_1909_1910C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
27,2016-08-29T00:00:00_WE4,,,,,41.8302,-83.1904,8/29/16,MODIS_processed_tiff/2016/image/,aqua.2016242.0829.1731_1909_1910C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
28,2016-08-29T00:00:00_WE6,,,,,41.707,-83.3838,8/29/16,MODIS_processed_tiff/2016/image/,aqua.2016242.0829.1731_1909_1910C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
29,2016-08-29T00:00:00_WE8,,,,,41.8356,-83.3579,8/29/16,MODIS_processed_tiff/2016/image/,aqua.2016242.0829.1731_1909_1910C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
30,2016-08-29T00:00:00_WE9,,,,,41.7188,-83.4212,8/29/16,MODIS_processed_tiff/2016/image/,aqua.2016242.0829.1731_1909_1910C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
31,2016-09-06T00:00:00_WE12,,,,,41.7026,-83.2558,9/6/16,MODIS_processed_tiff/2016/image/,terra.2016250.0906.1501_1638_1640_1816C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
32,2016-09-06T00:00:00_WE2,,,,,41.7626,-83.3311,9/6/16,MODIS_processed_tiff/2016/image/,terra.2016250.0906.1501_1638_1640_1816C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
33,2016-09-06T00:00:00_WE4,,,,,41.8318,-83.1935,9/6/16,MODIS_processed_tiff/2016/image/,terra.2016250.0906.1501_1638_1640_1816C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
34,2016-09-06T00:00:00_WE6,,,,,41.7038,-83.3863,9/6/16,MODIS_processed_tiff/2016/image/,terra.2016250.0906.1501_1638_1640_1816C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
35,2016-09-06T00:00:00_WE8,,,,,41.832,-83.3593,9/6/16,MODIS_processed_tiff/2016/image/,terra.2016250.0906.1501_1638_1640_1816C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
36,2016-09-06T00:00:00_WE9,,,,,41.717,-83.4256,9/6/16,MODIS_processed_tiff/2016/image/,terra.2016250.0906.1501_1638_1640_1816C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
37,2016-09-12T00:00:00_WE12,,,,,41.7021,-83.2706,9/12/16,MODIS_processed_tiff/2016/image/,aqua.2016256.0912.1743_1921C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
38,2016-09-12T00:00:00_WE2,,,,,41.7632,-83.3315,9/12/16,MODIS_processed_tiff/2016/image/,aqua.2016256.0912.1743_1921C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
39,2016-09-12T00:00:00_WE4,,,,,41.826,-83.1925,9/12/16,MODIS_processed_tiff/2016/image/,aqua.2016256.0912.1743_1921C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
40,2016-09-12T00:00:00_WE6,,,,,41.7039,-83.3853,9/12/16,MODIS_processed_tiff/2016/image/,aqua.2016256.0912.1743_1921C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
41,2016-09-12T00:00:00_WE8,,,,,41.8322,-83.3589,9/12/16,MODIS_processed_tiff/2016/image/,aqua.2016256.0912.1743_1921C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
42,2016-09-12T00:00:00_WE9,,,,,41.3587,-83.2117,9/12/16,MODIS_processed_tiff/2016/image/,aqua.2016256.0912.1743_1921C.L3.GL1.v8100_1_1.CI_merge_Kdcorr-E.tif,,
43,2017-07-05T00:00:00_WE12,,,,,41.7027,-83.2529,7/5/17,MODIS_processed_tiff/2017/image/,terra.2017186.0705.1512_1650C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
44,2017-07-05T00:00:00_WE2,,,,,41.7632,-83.328,7/5/17,MODIS_processed_tiff/2017/image/,terra.2017186.0705.1512_1650C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
45,2017-07-05T00:00:00_WE4,,,,,41.8284,-83.1912,7/5/17,MODIS_processed_tiff/2017/image/,terra.2017186.0705.1512_1650C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
46,2017-07-05T00:00:00_WE6,,,,,41.7056,-83.3838,7/5/17,MODIS_processed_tiff/2017/image/,terra.2017186.0705.1512_1650C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
47,2017-07-05T00:00:00_WE8,,,,,41.8358,-83.357,7/5/17,MODIS_processed_tiff/2017/image/,terra.2017186.0705.1512_1650C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
48,2017-07-05T00:00:00_WE9,,,,,41.718,-83.423,7/5/17,MODIS_processed_tiff/2017/image/,terra.2017186.0705.1512_1650C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
49,2017-07-11T00:00:00_WE12,,,,,41.7022,-83.2544,7/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017192.0711.1552C.L3.LE3.v8103_1_1.CI_PIsrCorr-E.tif,,
50,2017-07-11T00:00:00_WE2,,,,,41.7623,-83.3298,7/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017192.0711.1552C.L3.LE3.v8103_1_1.CI_PIsrCorr-E.tif,,
51,2017-07-11T00:00:00_WE4,,,,,41.8257,-83.195,7/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017192.0711.1552C.L3.LE3.v8103_1_1.CI_PIsrCorr-E.tif,,
52,2017-07-11T00:00:00_WE6,,,,,41.7046,-83.3866,7/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017192.0711.1552C.L3.LE3.v8103_1_1.CI_PIsrCorr-E.tif,,
53,2017-07-11T00:00:00_WE8,,,,,41.8318,-83.359,7/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017192.0711.1552C.L3.LE3.v8103_1_1.CI_PIsrCorr-E.tif,,
54,2017-07-11T00:00:00_WE9,,,,,41.7178,-83.4244,7/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017192.0711.1552C.L3.LE3.v8103_1_1.CI_PIsrCorr-E.tif,,
55,2017-07-17T00:00:00_WE12,,,,,41.7032,-83.2525,7/17/17,MODIS_processed_tiff/2017/image/,aqua.2017198.0717.1719_1720_1857C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
56,2017-07-17T00:00:00_WE2,,,,,41.763,-83.3288,7/17/17,MODIS_processed_tiff/2017/image/,aqua.2017198.0717.1719_1720_1857C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
57,2017-07-17T00:00:00_WE4,,,,,41.8283,-83.1933,7/17/17,MODIS_processed_tiff/2017/image/,aqua.2017198.0717.1719_1720_1857C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
58,2017-07-17T00:00:00_WE6,,,,,41.7056,-83.3852,7/17/17,MODIS_processed_tiff/2017/image/,aqua.2017198.0717.1719_1720_1857C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
59,2017-07-17T00:00:00_WE8,,,,,41.8353,-83.3581,7/17/17,MODIS_processed_tiff/2017/image/,aqua.2017198.0717.1719_1720_1857C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
60,2017-07-17T00:00:00_WE9,,,,,41.7183,-83.4224,7/17/17,MODIS_processed_tiff/2017/image/,aqua.2017198.0717.1719_1720_1857C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
61,2017-07-31T00:00:00_WE12,,,,,41.7038,-83.2547,7/31/17,MODIS_processed_tiff/2017/image/,terra.2017212.0731.1549_1550_1727_1730C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
62,2017-07-31T00:00:00_WE2,,,,,41.7615,-83.3305,7/31/17,MODIS_processed_tiff/2017/image/,terra.2017212.0731.1549_1550_1727_1730C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
63,2017-07-31T00:00:00_WE4,,,,,41.8283,-83.1926,7/31/17,MODIS_processed_tiff/2017/image/,terra.2017212.0731.1549_1550_1727_1730C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
64,2017-07-31T00:00:00_WE6,,,,,41.7046,-83.3854,7/31/17,MODIS_processed_tiff/2017/image/,terra.2017212.0731.1549_1550_1727_1730C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
65,2017-07-31T00:00:00_WE8,,,,,41.8343,-83.3589,7/31/17,MODIS_processed_tiff/2017/image/,terra.2017212.0731.1549_1550_1727_1730C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
66,2017-07-31T00:00:00_WE9,,,,,41.7178,-83.4261,7/31/17,MODIS_processed_tiff/2017/image/,terra.2017212.0731.1549_1550_1727_1730C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
67,2017-08-07T00:00:00_WE12,,,,,41.7029,-83.2539,8/7/17,MODIS_processed_tiff/2017/image/,terra.2017219.0807.1555_1733_1735C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
68,2017-08-07T00:00:00_WE2,,,,,41.7633,-83.3303,8/7/17,MODIS_processed_tiff/2017/image/,terra.2017219.0807.1555_1733_1735C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
69,2017-08-07T00:00:00_WE4,,,,,41.8267,-83.1957,8/7/17,MODIS_processed_tiff/2017/image/,terra.2017219.0807.1555_1733_1735C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
70,2017-08-07T00:00:00_WE6,,,,,41.7054,-83.3857,8/7/17,MODIS_processed_tiff/2017/image/,terra.2017219.0807.1555_1733_1735C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
71,2017-08-07T00:00:00_WE8,,,,,41.8336,-83.361,8/7/17,MODIS_processed_tiff/2017/image/,terra.2017219.0807.1555_1733_1735C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
72,2017-08-07T00:00:00_WE9,,,,,41.7178,-83.4227,8/7/17,MODIS_processed_tiff/2017/image/,terra.2017219.0807.1555_1733_1735C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
73,2017-08-14T00:00:00_WE12,,,,,41.7028,-83.2548,8/14/17,MODIS_processed_tiff/2017/image/,terra.2017226.0814.1601_1739_1740C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
74,2017-08-14T00:00:00_WE2,,,,,41.7626,-83.329,8/14/17,MODIS_processed_tiff/2017/image/,terra.2017226.0814.1601_1739_1740C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
75,2017-08-14T00:00:00_WE4,,,,,41.8262,-83.1941,8/14/17,MODIS_processed_tiff/2017/image/,terra.2017226.0814.1601_1739_1740C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
76,2017-08-14T00:00:00_WE6,,,,,41.7053,-83.3845,8/14/17,MODIS_processed_tiff/2017/image/,terra.2017226.0814.1601_1739_1740C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
77,2017-08-14T00:00:00_WE8,,,,,41.8331,-83.3568,8/14/17,MODIS_processed_tiff/2017/image/,terra.2017226.0814.1601_1739_1740C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
78,2017-08-14T00:00:00_WE9,,,,,41.7177,-83.4225,8/14/17,MODIS_processed_tiff/2017/image/,terra.2017226.0814.1601_1739_1740C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
79,2017-08-21T00:00:00_WE12,,,,,41.7034,-83.2533,8/21/17,MODIS_processed_tiff/2017/image/,aqua.2017233.0821.1749_1750_1928_1930C.L3.GL1.v8103_1_1.merge.terra.2017233.0821.1607_1610_1745C.CI_merge_Kdcorr-E.tif,,
80,2017-08-21T00:00:00_WE2,,,,,41.7624,-83.3295,8/21/17,MODIS_processed_tiff/2017/image/,aqua.2017233.0821.1749_1750_1928_1930C.L3.GL1.v8103_1_1.merge.terra.2017233.0821.1607_1610_1745C.CI_merge_Kdcorr-E.tif,,
81,2017-08-21T00:00:00_WE4,,,,,41.8265,-83.1978,8/21/17,MODIS_processed_tiff/2017/image/,aqua.2017233.0821.1749_1750_1928_1930C.L3.GL1.v8103_1_1.merge.terra.2017233.0821.1607_1610_1745C.CI_merge_Kdcorr-E.tif,,
82,2017-08-21T00:00:00_WE6,,,,,41.7044,-83.3848,8/21/17,MODIS_processed_tiff/2017/image/,aqua.2017233.0821.1749_1750_1928_1930C.L3.GL1.v8103_1_1.merge.terra.2017233.0821.1607_1610_1745C.CI_merge_Kdcorr-E.tif,,
83,2017-08-21T00:00:00_WE8,,,,,41.8337,-83.3583,8/21/17,MODIS_processed_tiff/2017/image/,aqua.2017233.0821.1749_1750_1928_1930C.L3.GL1.v8103_1_1.merge.terra.2017233.0821.1607_1610_1745C.CI_merge_Kdcorr-E.tif,,
84,2017-08-21T00:00:00_WE9,,,,,41.7171,-83.4234,8/21/17,MODIS_processed_tiff/2017/image/,aqua.2017233.0821.1749_1750_1928_1930C.L3.GL1.v8103_1_1.merge.terra.2017233.0821.1607_1610_1745C.CI_merge_Kdcorr-E.tif,,
85,2017-09-05T00:00:00_WE12,,,,,41.7038,-83.254,9/5/17,MODIS_processed_tiff/2017/image/,aqua.2017248.0905.1707_1844_1845C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
86,2017-09-05T00:00:00_WE2,,,,,41.7637,-83.3352,9/5/17,MODIS_processed_tiff/2017/image/,aqua.2017248.0905.1707_1844_1845C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
87,2017-09-05T00:00:00_WE4,,,,,41.826,-83.1951,9/5/17,MODIS_processed_tiff/2017/image/,aqua.2017248.0905.1707_1844_1845C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
88,2017-09-05T00:00:00_WE6,,,,,41.7068,-83.388,9/5/17,MODIS_processed_tiff/2017/image/,aqua.2017248.0905.1707_1844_1845C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
89,2017-09-05T00:00:00_WE8,,,,,41.8333,-83.3624,9/5/17,MODIS_processed_tiff/2017/image/,aqua.2017248.0905.1707_1844_1845C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
90,2017-09-05T00:00:00_WE9,,,,,41.7178,-83.424,9/5/17,MODIS_processed_tiff/2017/image/,aqua.2017248.0905.1707_1844_1845C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
91,2017-09-11T00:00:00_WE12,,,,,41.7032,-83.254,9/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017254.0911.1544C.L3.LE3.v8103_1_1.CI_PIsrCorr-E-B.tif,,
92,2017-09-11T00:00:00_WE2,,,,,41.7628,-83.3289,9/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017254.0911.1544C.L3.LE3.v8103_1_1.CI_PIsrCorr-E-B.tif,,
93,2017-09-11T00:00:00_WE4,,,,,41.8263,-83.1934,9/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017254.0911.1544C.L3.LE3.v8103_1_1.CI_PIsrCorr-E-B.tif,,
94,2017-09-11T00:00:00_WE6,,,,,41.7059,-83.3851,9/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017254.0911.1544C.L3.LE3.v8103_1_1.CI_PIsrCorr-E-B.tif,,
95,2017-09-11T00:00:00_WE8,,,,,41.833,-83.3572,9/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017254.0911.1544C.L3.LE3.v8103_1_1.CI_PIsrCorr-E-B.tif,,
96,2017-09-11T00:00:00_WE9,,,,,41.718,-83.4228,9/11/17,MODIS_processed_tiff/2017/image/,sentinel-3a.2017254.0911.1544C.L3.LE3.v8103_1_1.CI_PIsrCorr-E-B.tif,,
97,2017-09-25T00:00:00_WE12,,,,,41.7035,-83.2538,9/25/17,MODIS_processed_tiff/2017/image/,terra.2017268.0925.1501_1638_1640_1816C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
98,2017-09-25T00:00:00_WE2,,,,,41.7625,-83.3292,9/25/17,MODIS_processed_tiff/2017/image/,terra.2017268.0925.1501_1638_1640_1816C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
99,2017-09-25T00:00:00_WE4,,,,,41.8258,-83.1951,9/25/17,MODIS_processed_tiff/2017/image/,terra.2017268.0925.1501_1638_1640_1816C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
100,2017-09-25T00:00:00_WE6,,,,,41.7051,-83.3857,9/25/17,MODIS_processed_tiff/2017/image/,terra.2017268.0925.1501_1638_1640_1816C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
101,2017-09-25T00:00:00_WE9,,,,,41.7179,-83.4234,9/25/17,MODIS_processed_tiff/2017/image/,terra.2017268.0925.1501_1638_1640_1816C.L3.GL1.v8103_1_1.CI_merge_Kdcorr-E.tif,,
102,2018-07-02T00:00:00_WE12,,,,,41.7031,-83.2544,7/2/18,MODIS_processed_tiff/2018/image/,aqua.2018183.0702.1910C.L3.GL1.v930V2018015_1_1.CI_merge_Kdcorr-E.tif,,
103,2018-07-02T00:00:00_WE2,,,,,41.7953,-83.33,7/2/18,MODIS_processed_tiff/2018/image/,aqua.2018183.0702.1910C.L3.GL1.v930V2018015_1_1.CI_merge_Kdcorr-E.tif,,
104,2018-07-02T00:00:00_WE4,,,,,41.8252,-83.1985,7/2/18,MODIS_processed_tiff/2018/image/,aqua.2018183.0702.1910C.L3.GL1.v930V2018015_1_1.CI_merge_Kdcorr-E.tif,,
105,2018-07-02T00:00:00_WE6,,,,,41.7059,-83.3849,7/2/18,MODIS_processed_tiff/2018/image/,aqua.2018183.0702.1910C.L3.GL1.v930V2018015_1_1.CI_merge_Kdcorr-E.tif,,
106,2018-07-02T00:00:00_WE8,,,,,41.8308,-83.3584,7/2/18,MODIS_processed_tiff/2018/image/,aqua.2018183.0702.1910C.L3.GL1.v930V2018015_1_1.CI_merge_Kdcorr-E.tif,,
107,2018-07-02T00:00:00_WE9,,,,,41.7177,-83.4232,7/2/18,MODIS_processed_tiff/2018/image/,aqua.2018183.0702.1910C.L3.GL1.v930V2018015_1_1.CI_merge_Kdcorr-E.tif,,
108,2018-07-09T00:00:00_WE12,,,,,41.704,-83.2557,7/9/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018190.0709.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
109,2018-07-09T00:00:00_WE2,,,,,41.7624,-83.333,7/9/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018190.0709.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
110,2018-07-09T00:00:00_WE4,,,,,41.8266,-83.197,7/9/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018190.0709.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
111,2018-07-09T00:00:00_WE6,,,,,41.7059,-83.3856,7/9/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018190.0709.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
112,2018-07-09T00:00:00_WE8,,,,,41.8326,-83.3581,7/9/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018190.0709.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
113,2018-07-09T00:00:00_WE9,,,,,41.7177,-83.425,7/9/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018190.0709.1538_1541C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
114,2018-07-16T00:00:00_WE12,,,,,41.7032,-83.2544,7/16/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018197.0716.1557C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
115,2018-07-16T00:00:00_WE2,,,,,41.7623,-83.332,7/16/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018197.0716.1557C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
116,2018-07-16T00:00:00_WE4,,,,,41.759,-83.1953,7/16/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018197.0716.1557C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
117,2018-07-16T00:00:00_WE6,,,,,41.7053,-83.3858,7/16/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018197.0716.1557C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
118,2018-07-16T00:00:00_WE8,,,,,41.8334,-83.3603,7/16/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018197.0716.1557C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
119,2018-07-16T00:00:00_WE9,,,,,41.7175,-83.426,7/16/18,MODIS_processed_tiff/2018/image/,sentinel-3a.2018197.0716.1557C.L3.LE3.v930044d4967_1_1.CI_PIsrCorr-E.tif,,
